TEV,MHO,MM805,MRAA004
2022,9,1311,57.536
2022,9,2320,168.649
2022,9,2512,583.085
2022,9,5600,807.176
2022,9,1734,119.769
2022,9,3310,164.476
2022,9,2120,256.229
2022,9,3021,392.175
2022,9,3160,219.687
2022,9,3380,269.339
2022,9,7610,517.999
2022,9,1124,126.224
2022,9,3350,32.736
2022,9,5720,152.664
2022,9,1321,585.946
2022,9,3410,146.402
2022,9,3430,1077.88
2022,9,3440,180.175
2022,9,2210,193.39
2022,9,7620,1183.208
2022,9,1110,174.73
2022,9,1510,395.165
2022,9,1730,120.491
2022,9,7410,1273.245
2022,9,1201,71.64
2022,9,1710,98.697
2022,9,2100,256.229
